codigo_barras,nombre_marca,codigo_ingrediente,capacidad,precio_unitario,peso_cristal,peso_nueva
0608604000114,1921 IRRESISTIBLE 750,LICO002,750,237.50,,
7506351811058,400 CONEJOS ESPADIN TOBALA 750,MEZC002,750,507.76,626,1339
7506351811010,400 CONEJOS JOVEN 750,MEZC001,750,366.17,612,1324
7506351811126,400 CONEJOS REPOSADO 750,MEZC003,750,425.26,626,1339
7501151075037,7 LEGUAS AÑEJO 750,TEQU004,750,512.07,560,1273
7501151010014,7 LEGUAS BLANCO 1000,TEQU005,1000,335.34,600,1550
7501151075013,7 LEGUAS BLANCO 750,TEQU005,750,279.31,568,1281
7501151010021,7 LEGUAS REPOSADO 1000,TEQU007,1000,427.59,600,1550
7501151075020,7 LEGUAS REPOSADO 750,TEQU007,750,384.48,564,1277
8594001443314,ABSINTH GREEN TREE FAIRY 700,LICO003,700,514.66,,1157
7312040017034,ABSOLUT BLUE 1000,VODK001,1000,236.21,660,1610
7312040017010,ABSOLUT BLUE 750,VODK001,750,207.76,520,1233
7312040551675,ABSOLUT LIME 750,VODK005,750,207.76,520,1233
7312040050758,ABSOLUT MANDARIN 750,VODK006,750,207.76,520,1233
7312040180752,ABSOLUT MANGO 750,VODK007,750,207.76,520,1233
7312040150755,ABSOLUT PEARS 750,VODK008,750,207.76,520,1233
7312040040759,ABSOLUT RASPBERRI 750,VODK010,750,207.76,520,1233
7501048801206,AGAVERO 750,LICO006,750,173.36,,1372
7503011148912,ALACRAN BLANCO 750,TEQU013,750,327.59,,
7503015650138,ALACRAN ESPADIN JOVEN 750,MEZC006,750,422.41,560,1273
7503015650725,ALACRAN ESPADIN JOVEN 750,MEZC006,750,422.41,560,1273
7503015650435,ALACRAN REPOSADO 750,TEQU016,750,284.48,,
7503002311271,ALIPUS SAN ANDRES 750,MEZC008,750,602.59,594,1307
7503002311240,ALIPUS SAN JUAN 750,MEZC010,750,602.59,594,1307
7503002311233,ALIPUS SANTA ANA 750,MEZC012,750,602.59,594,1307
8000400203782,AMARO AVERNA 700,LICO007,700,256.03,506,1276
7503016596022,AMORES CUPREATA 750,MEZC013,750,506.03,924,1636
7503016596008,AMORES ESPADIN JOVEN 700,MEZC014,750,431.03,920,1585
7503016596404,AMORES LOGIA CENIZO 700,MEZC015,700,732.76,920,1585
7503016596015,AMORES REPOSADO 750,MEZC016,750,484.48,924,1636
7503018819006,ANCHO REYES 750,LICO008,750,240.52,534,1359
7503018819150,ANCHO REYES VERDE 750,LICO009,750,240.52,534,1359
8410337219020,ANIS DEL MONO DULCE 1000,LICO010,1000,198.28,706,1756
8411183187204,ANIS LAS CADENAS 1000,LICO115,1000,304.31,816,1866
0744607005616,ANTIGUO DE HERRADURA PLATA 700,TEQU017,700,195.60,454,1119
0744607004107,ANTIGUO DE HERRADURA REPOSADO 700,TEQU018,700,233.36,454,1119
0744607004800,ANTIGUO DE HERRADURA REPOSADO 950,TEQU018,950,297.76,590,1492
8002230000302,APEROL 700,LICO017,700,232.76,514,1284
7501035020207,APPLETON ESTATE 750,RONE001,750,203.79,554,1267
0636191054401,APPLETON ESTATE JAMAICA RUM 21 750,RONE003,750,1860.34,,
0721059001557,APPLETON ESTATE RARE BLEND 12 750,RONE002,750,474.14,,
636191190406,APPLETON ESTATE RESERVE BLEND 750,RONE004,750,267.24,554,1267
7501035020429,APPLETON SPECIAL 750,RONE005,750,124.83,,1194
7501035020108,APPLETON SPECIAL 950,RONE005,950,152.24,568,1470
7501035020405,APPLETON WHITE 750,RONE006,750,118.10,480,1192
7501035020009,APPLETON WHITE 950,RONE006,950,148.10,570,1472
5010494910971,ARDBEG 10 750,WHIS002,750,921.55,,
0704228011120,ARETTE BLANCO 750,TEQU022,750,213.79,574,1287
0704228014121,ARETTE REPOSADO 750,TEQU024,750,239.66,574,1287
7503023578349,AZTECA DE ORO 700,BRAN003,700,121.03,520,1185
5010677105712,BACARDI 8 700,RONE008,700,319.74,666,1331
7610113001387,BACARDI 8 750,RONE008,750,319.74,668,1380
7501008611203,BACARDI AÑEJO 1000,RONE009,1000,168.10,650,1600
7501008611135,BACARDI AÑEJO 750,RONE009,750,104.83,536,1249
7501008660218,BACARDI CARTA BLANCA 1750,RONE007,1750,222.50,990,2653
7501008660195,BACARDI CARTA BLANCA 750,RONE007,750,118.02,,1200
7501008660201,BACARDI CARTA BLANCA 980,RONE007,980,140.69,570,1501
7501008660232,BACARDI CARTA ORO 750,RONE010,750,143.97,,
7501008660300,BACARDI GRAN AÑEJO 750,RONE011,750,180.69,,
0080480001520,BACARDI OAKHEART 750,RONE013,750,121.38,,
7501008610145,BACARDI SOLERA 1000,RONE015,1000,186.38,,
7501008610121,BACARDI SOLERA 750,RONE015,750,158.53,,1252
5011013100118,BAILEYS 1000,LICO019,1000,301.21,,
5011013100156,BAILEYS 700,LICO018,700,214.74,480,1320
5010106113530,BALLANTINES 12 750,WHIS003,750,424.57,,
5010106111451,BALLANTINES FINEST 750,WHIS004,750,186.64,444,1157
7500326760013,BARRO DE COBRE ESPADIN 950,MEZC090,950,634.00,482,1384
8411183199429,BASARANA 20 1000,LICO020,1000,247.41,644,1694
5000329002322,BEEFEATER 1000,GINE001,1000,337.50,718,1668
5000329002216,BEEFEATER 750,GINE001,750,337.50,542,1255
5901041003454,BELVEDERE 700,VODK012,700,559.48,,
50196135,BLACK & WHITE 700,WHIS006,700,129.31,,
7503002087107,BLANCO MADERO 900,RONE056,900,154.31,564,1419
5010677716000,BOMBAY SAPPHIRE 1000,GINE007,1000,387.93,736,1686
5010677715003,BOMBAY SAPPHIRE 750,GINE007,750,387.93,624,1337
7401005002014,BOTRAN AÑEJO 12 750,RONE023,750,319.05,,
5055807400312,BRUICHLADDICH 700,WHIS007,700,1105.86,800,1465
7502261500006,BRUXO 1 750,MEZC018,750,378.45,478,1191
7502261500037,BRUXO 2 750,MEZC019,750,473.28,478,1191
7502261500068,BRUXO 3 BARRIL 750,MEZC020,750,662.93,478,1191
7502261500020,BRUXO 4 CUISHE BARRIL ESPADIN 750,MEXC021,750,757.76,478,1191
7502261500082,BRUXO 5 TOBALA 750,MEZC022,750,1249.14,478,1191
7502261500532,BRUXO RECETA INICIAL 750,MEZC023,750,318.10,480,1193
5000196002807,BUCHANANS 12 1000,WHIS009,1000,728.45,654,1604
50196364,BUCHANANS DELUXE 12 1000,WHIS009,1000,728.45,654,1604
50196388,BUCHANANS DELUXE 12 750,WHIS009,750,545.69,550,1263
5000196003774,BUCHANANS MASTER 750,WHIS011,750,634.48,526,1239
5000196003248,BUCHANANS RED SEAL 750,WHIS012,750,2664.48,,
50196913,BUCHANANS SPECIAL RESERVE 18 750,WHIS010,750,1237.93,720,1432
5000196001695,BUCHANANS SPECIAL RESERVE 18 750,WHIS010,750,1237.93,720,1432
5000196006218,BUCHANANS TWO SOULS 750,WHIS139,750,545.69,528,1240
0897076002003,BULLDOG 750,GINE012,750,437.93,620,1333
0082000758778,BULLEIT 750,WHIS013,750,410.86,536,1249
5055966825001,BUSHMILLS 16 750,WHIS015,750,1676.72,,
5000966830005,BUSHMILLS 21 750,WHIS016,750,4617.24,,
5055966810007,BUSHMILLS BLACK BUSH 750,WHIS017,750,479.74,552,1265
