nombre,codigo,categoria,factor_peso
100 AÑOS BLANCO,TEQU001,TEQUILA,0.95
100 AÑOS REPOSADO ETIQUETA AZUL,TEQU002,TEQUILA,0.95
1519 BLANCO,TEQU003,TEQUILA,0.95
1921 CLASICA,LICO001,LICOR,1.1
1921 IRRESISTIBLE,LICO002,LICOR,1.1
400 CONEJOS ESPADIN TOBALA,MEZC002,MEZCAL,0.95
400 CONEJOS JOVEN,MEZC001,MEZCAL,0.95
400 CONEJOS REPOSADO,MEZC003,MEZCAL,0.95
7 LEGUAS AÑEJO,TEQU004,TEQUILA,0.95
7 LEGUAS BLANCO,TEQU005,TEQUILA,0.95
7 LEGUAS DE ANTAÑO EXTRA AÑEJO,TEQU006,TEQUILA,0.95
7 LEGUAS REPOSADO,TEQU007,TEQUILA,0.95
7 LEGUAS SINGLE BARREL,TEQU008,TEQUILA,0.95
ABSINTH GREEN TREE FAIRY,LICO003,LICOR,1.1
ABSINTH RUSTIC,LICO004,LICOR,1.1
ABSINTH STRAWBERRY,LICO005,LICOR,1.1
ABSOLUT BLUE,VODK001,VODKA,0.95
ABSOLUT CITRON,VODK002,VODKA,0.95
ABSOLUT ELYX,VODK003,VODKA,0.95
ABSOLUT EXTRAKT,VODK004,VODKA,0.95
ABSOLUT LIME,VODK005,VODKA,0.95
ABSOLUT MANDARIN,VODK006,VODKA,0.95
ABSOLUT MANGO,VODK007,VODKA,0.95
ABSOLUT PEARS,VODK008,VODKA,0.95
ABSOLUT RAINBOW,VODK009,VODKA,0.95
ABSOLUT RASPBERRI,VODK010,VODKA,0.95
ABSOLUT VANILLA,VODK011,VODKA,0.95
ADICTIVO AÑEJO,TEQU009,TEQUILA,0.95
ADICTIVO EXTRA AÑEJO,TEQU010,TEQUILA,0.95
ADICTIVO PLATA,TEQU011,TEQUILA,0.95
ADICTIVO REPOSADO,TEQU012,TEQUILA,0.95
AGAVERO,LICO006,LICOR,1.1
AGUA MALDITA,MEZC004,MEZCAL,0.95
AGUAS MANSAS,MEZC005,MEZCAL,0.95
ALACRAN BLANCO,TEQU013,TEQUILA,0.95
ALACRAN CRISTAL AÑEJO,TEQU014,TEQUILA,0.95
ALACRAN EXTRA AÑEJO,TEQU015,TEQUILA,0.95
ALACRAN JOVEN,MEZC006,MEZCAL,0.95
ALACRAN REPOSADO,TEQU016,TEQUILA,0.95
ALACRAN ZACATE LIMON,MEZC007,MEZCAL,0.95
ALBERFELDY 12,WHIS001,WHISKY,0.95
ALGUSTO,BRAN001,BRANDY,0.95
ALIPUS SAN ANDRES,MEZC008,MEZCAL,0.95
ALIPUS SAN BALTAZAR,MEZC009,MEZCAL,0.95
ALIPUS SAN JUAN,MEZC010,MEZCAL,0.95
ALIPUS SAN MIGUEL,MEZC011,MEZCAL,0.95
ALIPUS SANTA ANA,MEZC012,MEZCAL,0.95
ALMA DE MAGNO,BRAN002,BRANDY,0.95
AMARO AVERNA,LICO007,LICOR,1.1
AMORES CUPREATA,MEZC013,MEZCAL,0.95
AMORES JOVEN,MEZC014,MEZCAL,0.95
AMORES LOGIA,MEZC015,MEZCAL,0.95
AMORES REPOSADO,MEZC016,MEZCAL,0.95
ANCHO REYES,LICO008,LICOR,1.1
ANCHO REYES VERDE,LICO009,LICOR,1.1
ANIS DEL MONO DULCE,LICO010,LICOR,1.1
ANIS DEL MONO SECO,LICO011,LICOR,1.1
ANIS DOMECQ DULCE,LICO012,LICOR,1.1
ANIS DOMECQ SECO,LICO013,LICOR,1.1
ANIS MICO DULCE,LICO014,LICOR,1.1
ANTIGUO DE HERRADURA CRISTALINO,TEQU229,TEQUILA,0.95
ANTIGUO DE HERRADURA PLATA,TEQU017,TEQUILA,0.95
ANTIGUO DE HERRADURA REPOSADO,TEQU018,TEQUILA,0.95
APER PEYCHAUDS,LICO015,LICOR,1.1
APER PEYCHAUDS BITTERS,LICO016,LICOR,1.1
APEROL,LICO017,LICOR,1.1
APPLETON ESTATE,RONE001,RON,0.95
APPLETON ESTATE 12,RONE002,RON,0.95
APPLETON ESTATE 21,RONE003,RON,0.95
APPLETON ESTATE RESERVE BLEND,RONE004,RON,0.95
APPLETON SPECIAL,RONE005,RON,0.95
APPLETON WHITE,RONE006,RON,0.95
APRENDIZ JOVEN ESPADIN,MEZC017,MEZCAL,0.95
ARDBEG 10,WHIS002,WHISKY,0.95
ARETTE ARTESANAL SUAVE BLANCO,TEQU020,TEQUILA,0.95
ARETTE ARTESANAL SUAVE REPOSADO,TEQU021,TEQUILA,0.95
ARETTE AÑEJO,TEQU019,TEQUILA,0.95
ARETTE BLANCO,TEQU022,TEQUILA,0.95
ARETTE GRAN CLASE EXTRA AÑEJO,TEQU023,TEQUILA,0.95
ARETTE REPOSADO,TEQU024,TEQUILA,0.95
AZTECA DE ORO,BRAN003,BRANDY,0.95
BACADI CARTA BLANCA,RONE007,RON,0.95
BACARDI 8,RONE008,RON,0.95
BACARDI AÑEJO,RONE009,RON,0.95
BACARDI CARTA ORO,RONE010,RON,0.95
BACARDI GRAN AÑEJO,RONE011,RON,0.95
BACARDI LIMON,RONE012,RON,0.95
BACARDI OAKHEART,RONE013,RON,0.95
BACARDI RAZZ,RONE014,RON,0.95
BACARDI SOLERA,RONE015,RON,0.95
BAILEYS,LICO018,LICOR,1.1
BAILEYS DULCE DE LECHE,LICO019,LICOR,1.1
BALLANTINES 12,WHIS003,WHISKY,0.95
BALLANTINES FINEST,WHIS004,WHISKY,0.95
BARAIMA BLANCO,RONE016,RON,0.95
BARAIMA BLANCO 3,RONE017,RON,0.95
BARAIMA GRAN RESERVA 10,RONE018,RON,0.95
BARAIMA GRAN RESERVA LIMITADA,RONE019,RON,0.95
BARAIMA RESERVA 8,RONE020,RON,0.95
BARAIMA SPICED,RONE021,RON,0.95
BASARANA 20,LICO020,LICOR,1.1
BEEFEATER,GINE001,GINEBRA,0.95
BEEFEATER 24,GINE002,GINEBRA,0.95
BEEFEATER PINK,GINE003,GINEBRA,0.95
BEEFEATER WINTER EDITION,GINE004,GINEBRA,0.95
BELLS,WHIS005,WHISKY,0.95
BELVEDERE,VODK012,VODKA,0.95
BERTRAMS,BRAN004,BRANDY,0.95
BLACK & WHITE,WHIS006,WHISKY,0.95
BLOOM LONDON DRY,GINE005,GINEBRA,0.95
BOLS GENEVER,GINE006,GINEBRA,0.95
